Gender,SeasonFav,Handwritting,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie.Number,BarberSalon.Money,Donation,SocialMediaFav,SocialMediaHours,ExerciseHours,StudyHours,Sleep.Weekday,SleepWeekend,MarijuanaLegal,GPAHighSchool,GPACollege,Tattoos,Ticket.Driving,Text.Driving,Chocolate
Female,Summer,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,Yes,Depends,0,224,0,TikTok,6,2,3.5,7,10,No,3.6,3.4,0,2,No,35
Female,Fall,Right,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,2,70,0,Instagram,2,3,2,8,7,Not sure,3.99,3.98,0,0,Yes,60
Female,Summer,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,0,80,30,TikTok,2,1,5,7,7,Yes,3.5,3.3,0,1,Yes,36
Female,Summer,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Depends,2,100,0,TikTok,1,1,3,9,9,Yes,3.8,3.4,2,0,No,39
Female,Fall,Right,Junior,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,0,57.6,30,YouTube,5,0,4,7,8,Yes,3.89,3.2,3,0,Yes,70
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Morning,1,25,500,Instagram,1,2,4,8,8,Not sure,3.93,4,0,1,Yes,40
Female,Spring,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,2,0,0,Instagram,5,1,5,8,10,Not sure,3.7,3.404,0,0,No,38
Male,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,Morning,0,48,0,TikTok,5,1,3,7,10,Yes,3.78,3.53,0,0,No,34
Male,Fall,Left,Junior,Others,U.S.,Yes,Yes,Morning,0,25,0,TikTok,2,1,4,6,6,Yes,3.1,3.2,0,0,No,45
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,0,70,0,TikTok,4,2.5,5,5,6,Yes,3.89,0,0,0,Yes,42
Female,Summer,Right,Junior,College of Liberal Arts (CLA),U.S.,No,Yes,Evening,1,46,30,Instagram,4,1.5,8,6,8,Yes,4,3.7,0,0,No,47
Female,Spring,Right,Sophomore,College of Liberal Arts (CLA),U.S.,No,No,Depends,0,15,0,TikTok,6,1,3,9,9,Yes,3.968,3.5,1,0,Yes,65
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Evening,1,70,60,Others,2,1.5,5,8,8,Yes,4,3.8,0,0,No,34
Male,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,Yes,Depends,1,45,50,Instagram,5,2,2,8,8,Yes,3.9,3.58,0,1,No,42
Female,Summer,Right,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,Yes,Depends,3,245,450,TikTok,4,1,3,5,11,Yes,4,2.8,0,0,Yes,47
Male,Winter,Right,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,0,23,5,Instagram,2,1,3,7,6,No,4,3.917,0,0,No,50
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,1,130,80,TikTok,3,2,4,7,9,Yes,3.98,3.5,0,0,No,32
